02.09.2026                Dynamic List Display                                                                          1

Table: LFBW

	MANDT	LIFNR	BUKRS	WITHT	WT_SUBJCT	QSREC	WT_WTSTCD	WT_WITHCD	WT_EXNR	WT_EXRT	WT_EXDF	WT_EXDT	WT_WTEXRS

	500	100000	JVB	65	X	NR				  0.00
	500	100000	JVB	66	X	NR				  0.00
	500	100000	JVC	65	X	NR				  0.00
	500	100000	JVC	66	X	NR				  0.00
	500	100000	JVD	65	X	NR				  0.00
	500	100000	JVD	66	X	NR				  0.00
	500	100000	JVJ	65	X	NR				  0.00
	500	100000	JVJ	66	X	NR				  0.00
	500	100000	JVK	65	X	NR				  0.00
	500	100000	JVK	66	X	NR				  0.00
	500	100000	JVM	65	X	NR				  0.00
	500	100000	JVM	66	X	NR				  0.00
	500	100000	JVP	65	X	NR				  0.00
	500	100000	JVP	66	X	NR				  0.00
	500	100000	JVR	65	X	NR				  0.00
	500	100000	JVR	66	X	NR				  0.00
	500	100005	DVP	WA	X	WC				  0.00
	500	100005	SBS	WA	X	WC				  0.00
	500	100008	BDW	95	X	ST				  0.00
	500	100008	BDW	96	X	ST				  0.00
	500	100008	BDW	97	X	ST				  0.00
	500	100008	BDW	98	X	KK				  0.00
	500	100009	MUM	30						  0.00
	500	100009	MUM	95	X	ST				  0.00
	500	100009	MUM	96	X	ST				  0.00
	500	100009	MUM	97	X	ST				  0.00
	500	100009	MUM	98	X	KK				  0.00
	500	100013	MUM	30						  0.00
	500	100013	MUM	68	X	CR				  0.00
	500	100022	MUM	30						  0.00
	500	100022	MUM	80	X	NR				  0.00
	500	100027	BDW	95	X	ST				  0.00
	500	100027	BDW	96	X	ST				  0.00
	500	100027	BDW	97	X	ST				  0.00
	500	100027	BDW	98	X	KK				  0.00
	500	100028	MUM	30						  0.00
	500	100028	MUM	65	X	NR				  0.00
	500	100031	MUM	30						  0.00
	500	100031	MUM	65	X	NR				  0.00
	500	100031	MUM	66	X	NR				  0.00
	500	100031	MUM	72	X	NR				  0.00
	500	100031	MUM	76	X	NR				  0.00
	500	100031	MUM	84	X	NR				  0.00
	500	100031	MUM	93	X	NR				  0.00
	500	100032	DLI	41	X	CR				  0.00
	500	100032	DLI	65	X	NR				  0.00
	500	100032	DLI	66	X	NR				  0.00
	500	100032	JVB	65	X	NR				  0.00
	500	100032	JVB	66	X	NR				  0.00
	500	100032	JVC	65	X	NR				  0.00
	500	100032	JVC	66	X	NR				  0.00
	500	100032	JVD	65	X	NR				  0.00
	500	100032	JVD	66	X	NR				  0.00
	500	100032	JVJ	65	X	NR				  0.00
	500	100032	JVJ	66	X	NR				  0.00
	500	100032	JVK	65	X	NR				  0.00
	500	100032	JVK	66	X	NR				  0.00
	500	100032	JVM	65	X	NR				  0.00
